ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
18,Which is FALSE with regard to hypertrophic cardiomyopathy?,Occurs exclusively in adults,May be asymptomatic,"May present with shortness of breath (particularly with exertion), chest pain, palpitations, and syncope",Can lead to sudden cardiac death,,,,,"Genetics,Cardiovascular,"
19,Mutations in GLA result in,"Fabry disease, which can present with HCM"," Noonan syndrome, which can present with HCM","Danon disease, which can present with HCM","Wolff-Parkinson-White (WPW) syndrome, which can present with HCM",,,,,"Genetics,Cardiovascular,"
20,"Generally what phenotype is most likely if an individual has more than one mutation that is associated with
hypertrophic cardiomyopathy?",Earlier age of onset of hypertrophic cardiomyopathy,Severe dysmorphic features, Embryonic lethal, No difference from hypertrophic cardiomyopathy with one mutation,,,,,"Genetics,Cardiovascular,"
21,"Using the Schwartz criteria, a diagnosis of Long QT syndrome can be made based on","EKG findings, clinical history, and family history",Heart biopsy,Family history and genetic testing,"Cardiac MRI, exercise stress test, and clinical history",,,,,"Genetics,Cardiovascular,"
22,Mutations in which genes each make up about 40% of HCM?, MYH7 and MYBPC3,TNNT2 and TNNI3,MYL2 and MYL3,ACTC1 and ACTN2,,,,,"Genetics,Cardiovascular,"
23,Sudden unexpected nocturnal death syndrome (SUNDS) and _____________ are considered to be the same disorder., Brugada syndrome,Long QT syndrome,Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy (ARVD/C),Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),,,,,"Genetics,Cardiovascular,"
24,Which of the following is generally NOT helpful in making a diagnosis of Brugada syndrome?,Myocardial biopsy,EKG,Review of family history, Review of clinical history,,,,,"Genetics,Cardiovascular,"
25,Mutations in which gene make up 15-30% of Brugada syndrome (the greatest proportion of Brugada syndrome compared to any other known gene)?,SCN5A,CACNA1C,SCN1B,KCNE3,,,,,"Genetics,Cardiovascular,"
26,Which is NOT a characteristic trigger of arrhythmia in the most common types of Long QT syndrome?,Fever,Exercise,Emotion,Rest/sleep,,,,,"Genetics,Cardiovascular,"
27,The most common symptom of pulmonary arterial hypertension (PAH) is,Dyspnea,Syncope,Reynaud's phenomenon, Fatigue,,,,,"Genetics,Cardiovascular,"
28,Which of the following is FALSE with regard to Jervell and Lange-Nielsen syndrome?,Characterized by LQTS and blindness,Characterized by LQTS and sensorineural deafness, Inheritance pattern is autosomal recessive,Caused by mutations in KLQT1 (KCNQ1) and KCNE1,,,,,"Genetics,Cardiovascular,"
29,"Pulmonary arterial hypertension can occur along with which syndrome, particularly with mutations in ACVRL1.",Hereditary hemorrhagic telangiectasia,Timothy syndrome,Romano-Ward syndrome,Fabry disease,,,,,"Genetics,Cardiovascular,"
30,Which disorder is characterized by cardiac electrical instability (QRS complexes with frequent and rapid changes in morphology) triggered by acute activation of the adrenergic nervous system?, Catecholaminergic Polymorphic Ventricular Tachycardia (CPVT),Dilated cardiomyopathy,Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy (ARVD/C), Hypertrophic cardiomyopathy,,,,,"Genetics,Cardiovascular,"
31,Which of the following is TRUE about familial TTR amyloidosis?,The V122I mutations is common in the African-American population,Caused by mutations in the BMPR2 gene,Inheritance pattern is autosomal recessive,De novo mutations occur in less than 1% of cases,,,,,"Genetics,Cardiovascular,"
32,Which of the following is TRUE about psychosocial issues in cardiovascular genetics?,"Psychosocial issues in cardiovascular genetics may include issues surrounding uncertainty, changes in
perception of health, and guilt or blame","The psychosocial issues in cardiovascular genetics are very unique to these diseases and have no overlap
with other universal counseling issues","There are no psychosocial issues in cardiovascular genetics because the conditions can be managed with
medication and/or implantable cardioverter defibrillators", The most significant psychosocial issue in cardiovascular genetics is denial,,,,,"Genetics,Cardiovascular,"
33,"Noonan syndrome is a condition that can be described as encompassing: short stature, lymphedema at birth, bleeding issues, delayed puberty, a short webbed neck, and a low hairline. What are the main heart features in this condition?", Pulmonary valve stenosis and hypertrophic cardiomyopathy,Dilated cardiomyopathy,Pulmonary valve stenosis and ARVC,Hypertrophic cardiomyopathy and noncompaction,,,Up to 20% of cases with have HCM and pulmonary valve stenosis is the most common congenital heart disease in Noonan’s. ,,"Genetics,Cardiovascular,"
34,"Mutations in LMNA cause a genetic condition that is seen in both boys and girls with contractures, muscle wasting, and arrhythmias and/or congestive heart failure. What condition is this?",Emery-Dreifuss,Friedreich's Ataxia,Limb Girdle Muscular Dystrophy type 1,Charcot-Marie Tooth,,,,,"Genetics,Cardiovascular,"
35,What is the inheritance pattern of Barth Syndrome?,X-linked,Autosomal recessive,Autosomal dominant,Mitochondrial,,,,,"Genetics,Cardiovascular,"
36,What is the most common inheritance pattern in genetic causes of dilated cardiomyopathies?,Autosomal dominant,Autosomal recessive,X-linked,Mitochondrial,,,,,"Genetics,Cardiovascular,"
37,"This metabolic condition can lead to cardiomyopathy, skeletal myopathy, and intellectual disability in males with mutations in the LAMP2 gene. ",Danon Disease,Lesch Nyan Disease,Naxos Disease,Glutaric acidemia type 1,,,,,"Genetics,Cardiovascular,"
38,"A woman was recently diagnosed with Loeys Dietz syndrome due to aortic root dilation, a bifid uvula, and scoliosis. What is the de novo rate for this condition?",75 %,25 %,90 %,5 %,,,"25% of cases are inherited in an AD pattern. Most common mutations are TGFBR1, TGFBR2, and SMAD3",,"Genetics,Cardiovascular,"
39,Holt Oram is the most common hand-heart genetic conditions caused by mutations in TBX5. Your 25 year old patient want to know the chance of having a child with this condition. What do you tell her?,"It is dominant, a 50% chance with each pregnancy the child will be affected","It is recessive, if her partner is also a carrier for the condition her children will have a 50% of being affected and a 50% chance of being a carrier","It is x-linked, a 50% chance to have an affected male and 50% chance of having a carrier female","It’s a somatic mutation, she could have up to a 50% chance of passing down the mutation",,,,,"Genetics,Cardiovascular,"
40,"Pulmonic valvular stenosis, cholestasis, and butterfly vertebrae are main clinical features of which condition?",Alagille syndrome,Alport syndrome,Cerebrotendinous Xanthomas,Aicardi syndrome,,,,,"Genetics,Cardiovascular,"
41,Cardiomyopathy is a feature in this condition…,MELAS,NARP,LHON,Zellweger Syndrome,,,"mitochondrial diseases can affect the heart because it requires so much energy. 40% of patients with MELAS have cardiomyopathy, most are HCM. ",,"Genetics,Cardiovascular,"
