ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
27,"Your patient is a 49 year old recently diagnosed with colon cancer.  Her family history is significant for a sister with endometrial cancer at 45 years and a father with colon cancer at 63 years?  Immunohistochemical staining for MLH1, MSH2, MSH6, and PMS2 proteins in your patient’s tumor showed positive expression of the MLH1 and PMS2 protein products, but lack of expression of the MSH2 and MSH6 protein product.  Which of the following statements is FALSE?","If genetic testing for MLH1, MSH2, MSH6, and PMS2 was completed and no mutation was found, this will rule out Lynch syndrome",Based on this result it is likely that this tumor would also be MSI-H,This family fulfills the revised Amsterdam criteria,The most likely cause of the cancer in the family is due to an MSH2 mutation,The risk for endometrial and ovarian cancer and the option of a hysterectomy/oophorectomy should be discussed with this patient,,,,"Cancer,"
28,What percent risk reduction is associated with a bilateral prophylactic mastectomy?,90 %,50 %,70 %,100 %,,,,,"Cancer,"
29,What percent (%) of VHL is due to a de novo mutation?,20 %,Less than 1 %,90 %,50 %,,,,,"Cancer,"
30,“Cobblestone gums” are suggestive of:,Cowden syndrome,Familial melanoma,Muir-Torre syndrome,Gorlin syndrome/nevoid basal cell carcinoma syndrome,,,,,"Cancer,Neurogenetics,"
31,Which extracolonic tumor is NOT part of the Bethesda guidelines for Lynch syndrome?,Breast cancer,Glioblastoma,Stomach cancer,Small bowel carcinoma,,,,,"Cancer,"
32,Which of the following statements about Hereditary Diffuse Gastric Cancer is CORRECT?,CDH1 mutation testing only identifies mutations in 30-50% of families that meet criteria, HDGC is associated with an increased risk for diffuse gastric cancer and ductal breast cancer ,There are many effective surveillance options that are available for early detection of diffuse gastric cancer,Only a small proportion of individuals who undergo total gastrectomy are found to have foci of diffuse gastric on pathology,,,,,"Cancer,"
33,"A 32 year old woman presents to clinic given her personal history of melanoma diagnosed on her arm at the age of 28 and on her leg at the age of 30.  Her family history is significant for pancreatic cancer diagnosed in her mother at the age of 53, melanoma diagnosed in a maternal aunt in her 20s, and pancreatic cancer diagnosed in a maternal uncle in his 60s.  What gene would you consider offering testing for? ",CDKN2A (p16),STK11/LKB1,SMAD4,MSH2,PRSS1,,,,"Cancer,"
34,Which of the following patients is MOST likely to have an MMR mutation associated with Lynch syndrome? ,45 y/o woman with synchronous endometrial and colon cancer ,45 y/o woman with endometrial cancer and mother had ovarian cancer at age 67 , 45 y/o woman with endometrial cancer and mother had endometrial cancer at age 67 ,45 y/o woman with synchronous endometrial and ovarian cancer ,,,,,"Cancer,"
35,What percentage of RB1 mutations are de novo?,80 %,<1 %,20 %,50 %,,,,,"Cancer,"
36,Medulloblastoma occurs at higher frequency in:,Gorlin syndrome/nevoid basal cell carcinoma syndrome,Cowden syndrome,Muir-Torre syndrome,Familial melanoma,,,,,"Cancer,"
37,What is the purpose of the Bethesda criteria?,To identify a colorectal tumor that should be evaluated for MSI,To diagnose a family with Lynch syndrome,To identify a family suspicious for Lynch syndrome,To  diagnose a colorectal tumor for MSI-H histology,,,,,"Cancer,"
38,At what risk level is it appropriate for a woman to be offered chemoprevention in the form of tamoxifen or raloxifene to reduce her breast cancer risk?, 1.7% 5 year risk as calculated by the Gail model,2.7% 5 year risk as calculated by the Claus model,1.7% 5 year risk as calculated by the Claus model,2.7% 5 year risk as calculated by the Gail model,,,,,"Cancer,"
39,What is the earliest age at which 90% of patients with NF1 meet 2 or more of the NIH diagnostic criteria for NF1?,8,4,16,12,,,,,"Cancer,"
40,What pathological findings are more associated with a BRCA1 mutation?,"ER-, PR-, Her2 –","ER +, PR +, Her2 +","ER +, PR -, Her2 +","ER -, PR-, Her2 +",,,,,"Cancer,"
41,"In the general population, which of the following is the greatest risk factor for the development of cancer?",Age,Family history,Hormonal factors,"Lifestyle factors (e.g. smoking, diet, etc.)",,,,,"Cancer,"
42,Which of the following is most likely to be associated with Muir-Torre syndrome?,Sebaceous adenoma in the head/neck area, Sebaceous hyperplasia in the head/neck area,Sebaceous adenoma on the trunk/limbs,Sebaceous hyperplasia on the trunk/limbs,,,,,"Cancer,"
43,Pathology staining of a breast lesion is negative for E-cadherin.  What type of breast lesion is this?,Lobular,Ductal,Papillary,Medullary,,,,,"Cancer,"
44,"Legius syndrome, caused by mutations of the SPRED1 gene, is associated with:",Café au lait macules and axillary/inguinal freckling,Axillary/inguinal freckling and optic glioma,Café au lait macules and optic glioma,Axillary/inguinal freckling and neurofibromas,,,,,"Cancer,Neurogenetics,"
45,Which gene has the HIGHEST ovarian cancer risk?,BRCA1,STK11,MMR genes,BRCA2,,,,,"Cancer,"
46,Schwannomas are a characteristic finding in individuals with germline mutations in which genes?,NF2 and SMARCB1,NF1 and PTEN,NF1 and SMARCB1,NF2 and PTEN,,,,,"Cancer,Neurogenetics,"
47,Which of the following tumor types are most clearly associated with Von Hippel-Lindau disease (VHL)?,"Pheochromocytoma, endolymphatic sac tumors, hemangioblastoma","Clear cell renal carcinoma, pheochromocytoma, glioblastomas","Clear cell renal carcinoma, osteosarcoma, pancreatic adenocarcinoma","Pancreatic islet cell tumors, hemangioblastoma, osteosarcoma",,,,,"Cancer,"
48,Which of the following is NOT a hereditary risk factor for developing melanoma?,A previous history of a non melanoma skin cancer,Blue eyes,Skin that always burns,Red hair,,,,,"Cancer,"
49,A 4 year old boy presents to clinic with several hyperpigmented lesions of the skin. Upon further evaluation an ophthalmologist detects Lisch nodules.  You also are made aware that the patient’s mother has these same skin findings and has in the past had trouble learning in school.  What condition does the patient most likely have?,Neurofibromatosis 1,Cowden syndrome, Xeroderma Pigmentosum,Tuberous Sclerosis,,,,,"Cancer,Neurogenetics,"
50,Which of the following conditions is NOT associated with hamartomatous gastrointestinal polyps?,MYH-associated polyposis,Peutz-Jeghers syndrome,Cowden syndrome,Juvenile Polyposis syndrome,,,,,"Cancer,Neurogenetics"
