ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
29,Which statement is true?,"Simple, appropriate psychosocial interventions can help a patient feel able to make empowered choices and cope effectively",There is rarely time in a clinical genetics setting to conduct psychosocial counseling,A counselor will know that counseling has been effective when a client says thank you and the counselor feels good at the end of a session.,Continuing education courses should focus on new developments in genetics since psychosocial principals don't change over time.,,,,,"Counseling,"
30,Which of the following is a minor anomaly?,Transverse palmar crease,Ventricular septal defect,Cleft palate,Gastroschisis,,,,,"Counseling,"
31,Which of the following is LEAST likely to be associated with multiple congenital anomalies and an underlying genetic diagnosis?,Disruption,Field defect,Malformation,Dysplasia,,,,,"Counseling,"
32,In the reciprocal engagement model of genetic counseling which of the following is not a tenet,Discussing patient emotions is not an integral part of the process,Information is key,Developing a relationship with the client is integral to the genetic counseling session,Patient autonomy,,,,,"Counseling,"
33,"In a genetic counseling session, the genetic counselor says, ""Genetic testing is offered to individuals who have a high risk of a single-gene predisposition to cancer and shortly afterward provides the patient with her pretest probability of 5% of testing positive for a BRCA1/2 mutation. The patient says, ""well that's high, I suppose. The genetic counselor may have inadvertently influenced her patient's perception of risk by introducing genetic testing with a qualitative descriptor (offered to patients at high risk). The patient may be experiencing __________________.",Anchoring,Representativeness,Emotional factors,Prior beliefs,,,,,"Counseling,"
34,"A patient had a paternal great-grandmother who passed away from Huntington disease. She is very concerned about her risk and wishes to undergo genetic testing. In discussing her risk, you talk about autosomal dominant inheritance, but you also explain that the fact that her paternal grandfather and father both lived into their 70s without developing symptoms reduces the likelihood that she will test positive. Rather than being reassured, the patient starts crying and says she is very nervous about testing positive because she needs to be around for her children and she is concerned about the cost of long-term care. The patient's perception of her risk may be skewed by _____________________.",Consequences,Math ability,Uncertainty,Binarization,,,,,"Counseling,"
35,Tendency to view risk in two categories (yes or no; 50/50) is called _____________________.,Binarization,Representativeness,Uncertainty,Availability,,,,,"Counseling,"
36," ""Mary has a diagnosis of autism"" is a way of honoring the individual as a person ",Value free,Health literacy,Laden,None of the above,,,,,"Counseling,"
37,"A patient's observation of the frequency of a genetic disorder in their family makes them believe that the disorder is much more common than it is, and this may influence their perception of risk. This is an example of _____________________.",Representativeness,Competing values,Math ability,Anchoring,,,,,"Counseling,"
38,Confrontation is a therapeutic technique that is used in genetic counseling sessions. The goal of this technique is to ___________________________.,Elicit greater understanding within the client,Elicit information from the client,Establish the counselors authority,Promote a more robust dialogue,,,,,"Counseling,"
39,Individuals who are previously ______________________ their level of risk adjust better to positive test results than those who are not.,Engaged with,Unaware of,Optimistic about,All of the above,,,,,"Counseling,"
40,Which of the following is false?,"Family members who are encouraged to pursue testing by family members are less likely to do so because
they are offended by the intrusion into their privacy",Spouses may have a more difficult time with positive test results than their partner who is positive,"Research suggests that, in the setting of BRCA1/2 testing, men's decision to have testing is motivated by
a sense of obligation to their children","Family members are more likely to share their results with their family members if they feel obligated to do
so",,,,,"Counseling,"
41,Which of the following is true?,"A genetic counselor should give a patient the chance to ask questions before reviewing planned
information","A genetic counselor should describe genes and inheritance the same way every time, therefore it is not
helpful to assess the patient's prior understanding/education relating to genetics","A genetic counselor should avoid discussing a patient's prior experience with a genetic disease because of
the risk of prior beliefs affecting risk perception","Relationships and communication styles between family members should not be discussed in a genetic
counseling session because emotional factors brought to the surface in the session can alter risk perception",,,,,"Counseling,"
42,Reduced capacity to provide empathy to clients is best described as:,Compassion Fatigue,Burnout,Compassion Satisfaction,Distancing,,,,,"Counseling,"
43,"During a genetic counseling session, a patient is describing her experience with multiple pregnancy losses, and the genetic counselor begins to understand the patient's feelings based on her experiences. Suddenly, the genetic counselor realizes what time it is, and that the phlebotomy lab will be closing soon and quickly shifts the discussion to testing available for parental chromosome rearrangements. This may be an example of _______________________________.",An empathic break,Projection,Countertransference,Self-awareness,,,,,"Counseling,"
44,"If a patient is experiencing denial to a new diagnosis of Fragile X syndrome in her son, the genetic counselor should", Allow the patient to process the information before attempting to intervene,Explain the diagnosis and review the genetic test results again,Intervene immediately with a referral to a psychologist, Tell the patient that denial is harmful to her family,,,,,"Counseling,"
45,"Generally, genetic counseling that does not allow time for comments from the patient is ____________________.",Discouraged in order to understand the patient's narrative,Encouraged in order to cover important concepts before the patient makes up their mind prematurely,Encouraged due to time constraints,Discouraged in order to allow the patient to dictate what information is covered and what is not,,,,,"Counseling,"
46,One of the core qualities of a counselor is genuineness. Genuineness includes congruence. What is congruence?,When the counselor's inner response matches their outward response,Accepting clients as they are,The counselor's emotional response based on their own personal life,The ability to accurately understand the client's experience,,,,,"Counseling,"
47,"""Ensuring that the that client can comprehend the information by using appropriate language and organization of the session"" is which characteristic of a skilled instructor?",Clarity,Expertise,Empathy,Enthusiasm,,,,,"Counseling,"
48,"Word choice is important when counseling. Of the following words, which may have a negative connotation?",Risk,Liklihood,Chance,None of the above can have a negative connotation,,,,,"Counseling,"
49,Giving bad news,Is a skill that can be learned and practiced,Never goes well because of the kill the messenger phenomenon,Should be left to the end of a session so the counselor can leave the room and give the client privacy,Is best done over the phone in advance of seeing the patient,,,,,"Counseling,"
50,"After giving bad news to a client, the best course of action is to",Offer empathic statements and provide some quiet time for reflection,Review the facts surrounding the diagnosis to be sure everything was clear,Ask the client plenty of questions to understand his/ her state of mind,Give the client(s) your business card and end the session promptly,,,,,"Counseling,"
