ID,Question,CorrectAnswer,Answer1,Answer2,Answer3,Answer4,Answer5,Explanation,ImageURL,Tags
40,"Pulmonic valvular stenosis, cholestasis, and butterfly vertebrae are main clinical features of which condition?",Alagille syndrome,Alport syndrome,Cerebrotendinous Xanthomas,Aicardi syndrome,,,,,"Cardiovascular,Neurogenetics,"
41,Cardiomyopathy is a feature in this condition…,MELAS,NARP,LHON,Zellweger Syndrome,,,"mitochondrial diseases can affect the heart because it requires so much energy. 40% of patients with MELAS have cardiomyopathy, most are HCM. ",,"Cardiovascular,"
42,Which of the following conditions is the most common cause of congenital heart defects in newborns?,Trisomy 21,22q11.2 deletion syndrome,Trisomy 13,CHARGE syndrome,,,,,"Cardiovascular,"
43,Individuals with dilated cardiomyopathy can generally present with all of the following except,Decreased LV volume,Edema,Fatigue,Increased LV volume,,,,,"Cardiovascular,"
44,"A couple seeks counseling because their first child was born with a ventricular septal defect. There is no family history of any congenital heart disease, and the parents have normal cardiac examinations. They should be counseled that the risk that a subsequent child will have a similar or other cardiac defect is closest to",3-5%,less than 1%,8-10%,25%,,,,,"Cardiovascular,"
45,Which of the following is NOT a major criteria of Marfan syndrome?,Pneumothorax,Pectus carinatum,Aortic dissection,High palate,,,,,"Cardiovascular,"
46,You are meeting with a woman who is 20 weeks pregnant with her second child. The ultrasound technician noted supravalvular aortic stenosis and the patient was referred to genetics for a genetic counseling appointment. What condition will you likely discuss with the pregnant woman?,Williams syndrome,Alagille syndrome,Costello syndrome,Noonan syndrome,,,,,"Cardiovascular,Prenatal,"
47,What autosomal recessive form of long QT syndrome includes sensorineural hearing loss?,Jervell and Lange-Nielsen,Dravet,Timothy,Alport,,,,,"Cardiovascular,Neurogenetics,"
48,Holt-Oram syndrome can include limb & heart anomalies. What best describes how this condition affects multiple organ systems?,Pleiotropy,Epigenetics,Incomplete penetrance,Multifactorial causes,,,,,"Cardiovascular,General,"
49,"In Loeys-Dietz syndrome, which is a relatively common complication that requires monitoring and other interventions?",Arterial aneurysms,Colorectal cancer,Ectopia lentis,Immunodeficiency,,,,,"Cardiovascular,"
50,Cardiac amyloidosis due to the p.Val122Ile variant in the TTR gene is more prevalent in individuals of what ancestry?,African,Asian,Middle Eastern,Northern European,,,,,"Cardiovascular,"
